,isFaculty,isStaff,isStudent,building,buildingKey,room,comfort,quarter,timestamp,activity,clothing
6800,FALSE,False,False,Tercero Wall,DV-01-001823,217,Cold,fall2015,Tue Nov 03 2015 21:18:39 GMT-0800 (PST),,
6801,FALSE,False,False,Segundo Services Center,DV-01-001811,Academic Advising Center ,Chilly,fall2015,Tue Nov 03 2015 18:14:01 GMT-0800 (PST),,
6802,FALSE,False,False,Thoreau Hall,DV-01-000991,100C,Cold,fall2015,Tue Nov 03 2015 18:04:36 GMT-0800 (PST),,
6803,FALSE,False,False,Olson Hall,DV-01-000290,261,Warm,fall2015,Tue Nov 03 2015 17:24:55 GMT-0800 (PST),,
6804,FALSE,False,False,Regan Paloma,DV-01-000353,,Cold,fall2015,Tue Nov 03 2015 22:06:54 GMT-0800 (PST),,
6805,FALSE,False,False,Hunt Hall,DV-01-000092,253,Cold,fall2015,Tue Nov 03 2015 21:48:53 GMT-0800 (PST),,
6806,FALSE,False,False,Segundo Ryerson,DV-01-000279,308,Cold,fall2015,Tue Nov 03 2015 22:55:27 GMT-0800 (PST),,
6807,FALSE,False,False,Wellman Hall,DV-01-000643,205,Chilly,fall2015,Tue Nov 03 2015 22:31:56 GMT-0800 (PST),,
6808,FALSE,False,False,RMI Sensory,DV-01-001596,1000,Cold,fall2015,Tue Nov 03 2015 15:51:42 GMT-0800 (PST),,
6809,FALSE,False,False,Segundo Malcolm,DV-01-000204,207,Cold,fall2015,Tue Nov 03 2015 15:35:33 GMT-0800 (PST),,
6810,FALSE,True,False,John D. Kemper Hall of Engineering,DV-01-001040,3016,Perfect,fall2015,Mon Nov 02 2015 16:44:49 GMT-0800 (PST),,
6811,FALSE,True,False,Education Building,DV-01-001587,1100,,fall2015,Mon Nov 02 2015 19:16:13 GMT-0800 (PST),,
6812,FALSE,False,False,Kearney Hall,DV-01-001570,423A,Cold,fall2015,Tue Nov 03 2015 23:43:55 GMT-0800 (PST),,
6813,FALSE,True,False,Dutton Hall,DV-01-001204,2100,Cold,fall2015,Mon Nov 02 2015 18:45:08 GMT-0800 (PST),,
6814,FALSE,False,True,,,,,fall2015,Mon Nov 02 2015 19:16:57 GMT-0800 (PST),,
6815,FALSE,True,False,Physics Building,DV-01-000680,175A,Perfect,fall2015,Mon Nov 02 2015 16:22:21 GMT-0800 (PST),,
6816,FALSE,False,False,Segundo Ryerson,DV-01-000279,203A,Cold,fall2015,Tue Nov 03 2015 23:29:31 GMT-0800 (PST),,
6817,FALSE,False,False,Segundo Ryerson,DV-01-000279,203,Cold,fall2015,Tue Nov 03 2015 23:30:02 GMT-0800 (PST),,
6818,FALSE,False,True,,,,,fall2015,Mon Nov 02 2015 19:16:50 GMT-0800 (PST),,
6819,FALSE,False,True,,,,,fall2015,Mon Nov 02 2015 19:17:16 GMT-0800 (PST),,
6820,FALSE,False,True,,,,,fall2015,Mon Nov 02 2015 19:17:17 GMT-0800 (PST),,
6821,TRUE,False,False,,,,,fall2015,Mon Nov 02 2015 19:44:39 GMT-0800 (PST),,
